"taxon"
"Abraliopsis felis"
"Aegina citrea"
"Aequorea victoria"
"Agonidae"
"Agonopsis vulsa"
"Agonus acipenserinus"
"Allosmerus elongatus"
"Alosa sapidissima"
"Ammodytes spp."
"Amphipoda"
"Anarrhichthys ocellatus"
"Anoplopoma fimbria"
"Aprodon cortezianus"
"Argentina sialis"
"Argentinoidei"
"Atheresthes stomias"
"Aurelia spp."
"Bathyagonus nigripinnis"
"Bathylagidae"
"Beringraja binoculata"
"Beroe spp."
"Berryteuthis spp."
"Brama japonica"
"Cancer magister"
"Cancer spp."
"Carinaria spp."
"Cavoliniidae"
"Cephalopoda"
"Chaetognatha"
"Chiroteuthis calyx"
"Chrysaora fuscescens"
"Citharichthys sordidus"
"Citharichthys stigmaeus"
"Clio pyramidata"
"Clupea pallasii"
"Congriscus megastomus"
"Cottidae"
"Cranchia scabra"
"Crangon spp."
"Ctenophora"
"Cyanea capillata"
"Cymbuliidae"
"Diaphus theta"
"Doryteuthis opalescens"
"Embassichthys bathybius"
"Engraulis mordax"
"Euphausiidae"
"Galiteuthis phyllura"
"Gasterosteus aculeatus"
"Gastropoda"
"Glyptocephalus zachirus"
"Gonatidae"
"Gonatopsis borealis"
"Gonatus onyx"
"Gonatus spp."
"Hemilepidotus hemilepidotus"
"Hemilepidotus spinosus"
"Hemilepidotus spp."
"Hexagrammidae"
"Hexagrammos decagrammus"
"Hippoglossoides elassodon"
"Hormiphora spp."
"Hydrozoa"
"Hypomesus pretiosus"
"Icichthys lockingtoni"
"Icosteus aenigmaticus"
"Idiacanthus antrostomus"
"Isopoda"
"Isopsetta isolepis"
"Lepidopsetta bilineata"
"Lestidiops ringens"
"Leuroglossus schmidti"
"Leuroglossus stilbius"
"Liparis fucensis"
"Liparis spp."
"Lipolagus ochotensis"
"Lyopsetta exilis"
"Malacosteidae"
"Malacosteus niger"
"Melanostomiidae"
"Merluccius productus"
"Microgadus proximus"
"Microstomus pacificus"
"Mitrocomidae"
"Myctophidae"
"Mysidacea"
"Nannobrachium regale"
"Nannobrachium ritteri"
"Natantia"
"Neotrypaea californiensis"
"Octopoda"
"Octopoteuthis deletron"
"Odontopyxis trispinosa"
"Oegopsida"
"Oncorhynchus keta"
"Oncorhynchus kisutch"
"Oncorhynchus spp."
"Oncorhynchus tshawytscha"
"Onychoteuthis borealijaponicus"
"Ophiodon elongatus"
"Osmeridae"
"Oxylebius pictus"
"Pandalus jordani"
"Parophrys vetulus"
"Pasiphaea pacifica"
"Peprilus simillimus"
"Periphylla periphylla"
"Petromyzontidae"
"Phacellophora camtschatica"
"Phosichthyidae"
"Phronima spp."
"Phyllosoma"
"Platichthys stellatus"
"Plectobranchus evides"
"Pleurobrachia"
"Pleuronectidae"
"Pleuronichthys decurrens"
"Pleuronichthys spp."
"Polychaeta"
"Praya spp."
"Psettichthys melanostictus"
"Pteropoda"
"Pyrosoma atlanticum"
"Ronquilus jordani"
"Rossia pacifica"
"Salpidae"
"Sardinops sagax"
"Scomber japonicus"
"Scorpaenichthys marmoratus"
"Scyphozoa"
"Sebastes (Black/Yellowtail group)"
"Sebastes (Copper group)"
"Sebastes (Rosy group)"
"Sebastes alutus"
"Sebastes auriculatus"
"Sebastes babcocki"
"Sebastes crameri"
"Sebastes diploproa"
"Sebastes entomelas"
"Sebastes flavidus"
"Sebastes goodei"
"Sebastes jordani"
"Sebastes melanops"
"Sebastes mystinus"
"Sebastes paucispinis"
"Sebastes pinniger"
"Sebastes reedi"
"Sebastes ruberrimus"
"Sebastes rufus"
"Sebastes saxicola"
"Sebastes spp."
"Sebastes wilsoni"
"Sebastes zacentrus"
"Sebastolobus spp."
"Sergestidae"
"Squalus suckleyi"
"Stenobrachius leucopsarus"
"Streetsia challengeri"
"Symbolophorus californiensis"
"Tactostoma macropus"
"Tarletonbeania crenularis"
"Thaleichthys pacificus"
"Thetys vagina"
"Torpedo californica"
"Trachipterus altivelis"
"Trachurus symmetricus"
"Xeneretmus latifrons"
