"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",50608.6056196579,49284.4247750619
"2","as.factor(year) + s(temp) + s(dist)",50498.7902136982,49021.3945814004
"3","as.factor(year) + temp",50678.7269971604,49251.583377239
"4","as.factor(year) + dist",50682.245898293,49256.9184025765
"5","as.factor(year) + s(temp)",50680.7269977416,49253.4922345005
"6","as.factor(year) + s(dist)",50496.013263676,49019.0216614729
"7","as.factor(year)",50680.2568536558,49254.9635163487
"8","temp + dist",50674.0303773024,49232.1240653283
"9","s(temp) + s(dist)",50496.9436069059,48962.804818745
"10","temp",50672.0462965831,49230.1563952937
"11","dist",50674.0169302956,49235.7223285093
"12","s(temp)",50674.0463013876,49232.059265491
"13","s(dist)",50493.5659200111,48960.23038489
"14","as.factor(year) + s(temp) + dist",50682.6616288717,49255.5159298813
"15","as.factor(year) + temp + s(dist)",50496.790206971,49019.4061884301
"16","temp + s(dist)",50494.9436025361,48960.8067766069
"17","s(temp) + dist",50676.030384465,49234.0287837953
"18","no fixed effects",50672.0259827144,49233.7531512016
