"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",1808.39391728283,1677.04807736379
"2","as.factor(year) + s(temp) + s(dist)",1812.39391743434,1681.04764142711
"3","as.factor(year) + temp",1814.93373023677,1675.16251878984
"4","as.factor(year) + dist",1809.01420573073,1677.45488868878
"5","as.factor(year) + s(temp)",1816.93373032614,1677.16097552132
"6","as.factor(year) + s(dist)",1811.01420583673,1679.45459121586
"7","as.factor(year)",1816.89354318464,1675.86498115447
"8","temp + dist",1821.03265702352,1653.42376374807
"9","s(temp) + s(dist)",1824.87375548068,1655.88966103464
"10","temp",1823.86445444297,1651.76609960632
"11","dist",1823.4071206265,1654.72821212724
"12","s(temp)",1825.86445462471,1653.76325810422
"13","s(dist)",1825.30364908684,1655.44646007746
"14","as.factor(year) + s(temp) + dist",1810.39391750406,1679.04772932884
"15","as.factor(year) + temp + s(dist)",1810.39391743186,1679.04760186532
"16","temp + s(dist)",1822.87375531752,1653.88985301091
"17","s(temp) + dist",1823.03265719092,1655.42255284895
"18","no fixed effects",1826.90091956614,1653.23368322633
