"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",1815.53090694401,1684.14978769878
"2","as.factor(year) + s(temp) + s(dist)",1819.45336113957,1686.1475861677
"3","as.factor(year) + temp",1817.97895533189,1683.00166108484
"4","as.factor(year) + dist",1818.64872841744,1689.06018093815
"5","as.factor(year) + s(temp)",1819.97895542412,1685.00293776538
"6","as.factor(year) + s(dist)",1820.56566053237,1688.81732760844
"7","as.factor(year)",1823.66567940078,1689.86544046421
"8","temp + dist",1815.80416803362,1659.64075890136
"9","s(temp) + s(dist)",1818.78656286292,1658.02157831952
"10","temp",1817.13395723264,1657.38073707436
"11","dist",1817.77274620366,1663.3737896372
"12","s(temp)",1819.13395726527,1659.38175281023
"13","s(dist)",1818.65552624604,1659.16113521104
"14","as.factor(year) + s(temp) + dist",1817.53090699213,1686.15140227835
"15","as.factor(year) + temp + s(dist)",1817.45336119633,1684.14772460718
"16","temp + s(dist)",1816.78656279966,1656.02158057742
"17","s(temp) + dist",1817.80416811662,1661.64278864008
"18","no fixed effects",1820.25373499149,1662.08617596806
