"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",3851.12483987628,3589.30951229903
"2","as.factor(year) + s(temp) + s(dist)",3854.1094005968,3586.4058852638
"3","as.factor(year) + temp",3853.83283343639,3580.59935013242
"4","as.factor(year) + dist",3849.18547184385,3586.8979020055
"5","as.factor(year) + s(temp)",3855.83283389787,3582.61065283303
"6","as.factor(year) + s(dist)",3850.38650012575,3582.17324636624
"7","as.factor(year)",3853.26898023517,3578.19498918583
"8","temp + dist",3896.36952516641,3576.79229395737
"9","s(temp) + s(dist)",3899.67705719663,3572.27985730576
"10","temp",3895.88490634007,3569.66718748343
"11","dist",3896.53158839798,3578.02225872419
"12","s(temp)",3897.88490668264,3571.67282591163
"13","s(dist)",3897.15057084488,3569.79385687774
"14","as.factor(year) + s(temp) + dist",3853.12484017,3591.32231813239
"15","as.factor(year) + temp + s(dist)",3852.10940022494,3584.40549003303
"16","temp + s(dist)",3897.67705679394,3570.27974062629
"17","s(temp) + dist",3898.3695256884,3578.79922771254
"18","no fixed effects",3898.44736887658,3567.31499316504
