"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",-659.240376263409,-781.898489179001
"2","as.factor(year) + s(temp) + s(dist)",-666.253056280343,-806.116213362893
"3","as.factor(year) + temp",-638.900708550414,-780.009424523862
"4","as.factor(year) + dist",-665.934097244095,-787.018220199477
"5","as.factor(year) + s(temp)",-636.900708550973,-778.009390056721
"6","as.factor(year) + s(dist)",-670.030769431582,-810.609259828301
"7","as.factor(year)",-640.824027790391,-781.662881693815
"8","temp + dist",-613.673681401997,-806.135058131072
"9","s(temp) + s(dist)",-611.30099300008,-821.611471122511
"10","temp",-601.541601232606,-797.687496578508
"11","dist",-615.169974537219,-807.442019708028
"12","s(temp)",-599.541601180898,-795.68787329751
"13","s(dist)",-614.908273546795,-825.424927255029
"14","as.factor(year) + s(temp) + dist",-661.977108940073,-782.694870395961
"15","as.factor(year) + temp + s(dist)",-668.253056306459,-808.116220838881
"16","temp + s(dist)",-613.300993082136,-823.611140562137
"17","s(temp) + dist",-611.67368133267,-804.135823768293
"18","no fixed effects",-602.708115713269,-798.698819154616
