"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",-84.0110230245991,-204.656245341712
"2","as.factor(year) + s(temp) + s(dist)",-91.8887846981979,-205.100066041444
"3","as.factor(year) + temp",-90.1033484918662,-207.762663613137
"4","as.factor(year) + dist",-91.8734720156308,-209.396073541644
"5","as.factor(year) + s(temp)",-88.1033484777454,-205.762703970088
"6","as.factor(year) + s(dist)",-95.741528489506,-209.296252895882
"7","as.factor(year)",-92.1008443600685,-209.690601024046
"8","temp + dist",9.5135837197613,-207.099793737058
"9","s(temp) + s(dist)",11.8837824084376,-202.616837525531
"10","temp",7.51510255941866,-209.102440164791
"11","dist",7.59623066540371,-208.963733472257
"12","s(temp)",9.51510255990524,-207.103060596444
"13","s(dist)",7.95121129138624,-206.479002344659
"14","as.factor(year) + s(temp) + dist",-87.9086999617002,-205.155575566286
"15","as.factor(year) + temp + s(dist)",-93.8887847154365,-207.100038003203
"16","temp + s(dist)",9.88378240780185,-204.616836460516
"17","s(temp) + dist",11.5135837204925,-205.100409688271
"18","no fixed effects",5.596468935144,-210.96489684621
