"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",-509.532100738628,-597.306952840685
"2","as.factor(year) + s(temp) + s(dist)",-505.532100893714,-593.306895456483
"3","as.factor(year) + temp",-468.491227097693,-585.44538533106
"4","as.factor(year) + dist",-509.07540572826,-599.284752330783
"5","as.factor(year) + s(temp)",-466.491487897119,-583.445288880292
"6","as.factor(year) + s(dist)",-507.07540525044,-597.284760914876
"7","as.factor(year)",-467.264473604919,-588.013131517503
"8","temp + dist",-412.368020986491,-570.618585369412
"9","s(temp) + s(dist)",-413.84286146596,-573.056281014441
"10","temp",-397.30223509255,-573.323620123242
"11","dist",-413.464611507199,-573.80712559434
"12","s(temp)",-400.320578339321,-577.645645595842
"13","s(dist)",-411.464611475113,-571.806342784845
"14","as.factor(year) + s(temp) + dist",-507.532100923507,-595.306906887228
"15","as.factor(year) + temp + s(dist)",-507.532100800327,-595.306907557432
"16","temp + s(dist)",-410.368020929483,-568.617765232451
"17","s(temp) + dist",-415.842861530107,-575.055888619973
"18","no fixed effects",-398.071711477758,-575.990654326467
