"","model","AIC","cAIC"
"1","as.factor(year) + temp + dist",-2684.12288912737,-2868.22571043271
"2","as.factor(year) + s(temp) + s(dist)",-2709.67245913207,-2862.93646704662
"3","as.factor(year) + temp",-2706.10552640384,-2879.05339704089
"4","as.factor(year) + dist",-2708.85726786163,-2877.70650840855
"5","as.factor(year) + s(temp)",-2704.10537469424,-2877.04845170895
"6","as.factor(year) + s(dist)",-2712.82170728223,-2865.63589187368
"7","as.factor(year)",-2707.66418291085,-2880.17546651223
"8","temp + dist",-2656.9097424977,-2916.32152905092
"9","s(temp) + s(dist)",-2652.90974227348,-2912.3207422304
"10","temp",-2658.70399306341,-2917.51561637121
"11","dist",-2657.58470717553,-2916.84202074891
"12","s(temp)",-2656.70399276523,-2915.51681954422
"13","s(dist)",-2655.58470698412,-2914.84340585665
"14","as.factor(year) + s(temp) + dist",-2705.84021817954,-2874.94510045043
"15","as.factor(year) + temp + s(dist)",-2711.67246107045,-2864.93666486568
"16","temp + s(dist)",-2654.90974223312,-2914.32074252511
"17","s(temp) + dist",-2654.909742322,-2914.32073734738
"18","no fixed effects",-2659.2774873208,-2917.81657036641
