"","genus_species","group"
"1","Euphausia pacifica","krill"
"2","Euphausiidae","krill"
"3","Thysanoessa spinifera","krill"
"4","Calanus marshallae","cold-water copepods"
"5","Cancer oregonensis/productus","Cancer crab larvae"
"6","Chaetognatha","Chaetognaths"
"7","Themisto pacifica","Hyperiid amphipod"
"8","Cirripedia","Barnacle larvae"
"9","Limacina","sea butterflies"
"10","Crangonidae","shrimp larvae"
"11","Hyperoche","Hyperiid amphipod"
"12","22 division fish egg","fish eggs"
"13","Hippolytidae","shrimp larvae"
"14","Mitrocoma cellularia","Cnidarians"
"15","Eucalanus","copepods"
"16","Calanus pacificus","warm-water copepods"
"17","Sebastes spp.","rockfishes"
"18","Engraulis mordax","northern anchovy"
"19","Neotrypaea californiensis","shrimp larvae"
"20","Pugettia","Non-Cancer crab larvae"
"21","Cancer magister","Cancer crab larvae"
"22","Epilabidocera longipedata","copepods"
"23","Fabia","Non-Cancer crab larvae"
"24","Porcellanidae","Non-Cancer crab larvae"
"25","Atylus tridens","Gammarid amphipod"
"26","Paguridae","Non-Cancer crab larvae"
"27","Aequorea spp.","Cnidarians"
"28","Eutonina indicans","Cnidarians"
"29","Cancer antennarius/gracilis","Cancer crab larvae"
"30","Neocalanus plumchrus","Cnidarians"
"31","Lepas","Barnacle larvae"
"32","Neocalanus cristatus","copepods"
"33","Lophopanopeus","Non-Cancer crab larvae"
"34","Chrysaora fuscescens","Cnidarians"
"35","Hyperia medusarum","Hyperiid amphipod"
"36","Psettichthys melanostictus","flatfishes"
"37","Tomopteris","Polychaetes"
"38","Pandalidae","shrimp larvae"
"39","Galatheidae","squat lobster"
"40","Diptera","insects"
"41","Stenobrachius leucopsarus","myctophids"
"42","Isopsetta isolepis","flatfishes"
"43","Lyopsetta exilis","flatfishes"
"44","Artedius harringtoni","sculpins"
"45","Citharichthys spp.","flatfishes"
"46","Oregonia gracilis","Non-Cancer crab larvae"
"47","Osteichthyes","fishes"
"48","Teuthida","squids"
"49","Gammaridae","Gammarid amphipod"
"50","Osmeridae","Osmerids"
"51","Pinnixa","Non-Cancer crab larvae"
"52","Lycaea pulex","Hyperiid amphipod"
"53","Alienacanthomysis macropsis","shrimp larvae"
"54","Microgadus proximus","Pacific Tomcod"
"55","Vibilia australis","Hyperiid amphipod"
"56","Clione limacina","sea butterflies"
"57","Artedius fenestralis","sculpins"
"58","Pinnotheridae","Non-Cancer crab larvae"
"59","Euchirella rostrata","copepods"
"60","Glyptocephalus zachirus","flatfishes"
"61","Emerita analoga","Non-Cancer crab larvae"
"62","Thysanoessa inspinata","krill"
"63","Cumacea","shrimp larvae"
"64","Liparis mucosus","snailfishes"
"65","Insecta","insects"
"66","Ronquilus jordani","ronquils/pricklebacks"
"67","Corolla spectabilis","sea butterflies"
"68","Grapsidae","Non-Cancer crab larvae"
"69","Liparis fucensis","snailfishes"
"70","Liparis pulchellus","snailfishes"
"71","Scorpaenichthys marmoratus","sculpins"
"72","Citharichthys sordidus","flatfishes"
