"group_run","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Lower Columbia - Fall",0,0,6,4,0,2,0,0,0,0,172,46,0,0,0,18,0,16,1,15,0,0,0,0,0,0,0
"Lower Columbia - Spring",0,5,39,4,24,0,0,0,0,4,0,29,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"Middle Columbia - Fall",1,47,29,92,808,3,1,1,12,3,101,22,126,52,37,61,18,6,35,35,42,41,23,27,8,7,0
"Middle Columbia - Spring",5,32,349,111,91,86,50,26,48,84,308,214,342,83,163,284,131,193,192,39,53,110,263,175,97,177,45
"Middle Columbia - Summer",3,0,0,0,0,0,0,0,0,0,0,1,13,8,9,4,3,0,14,5,2,1,12,11,0,1,0
"Snake River - Fall",1,2,1,71,360,266,136,186,826,12,3230,430,1842,1695,877,128,44,162,138,68,273,212,288,158,94,55,1
"Snake River - Spring",6,41,102,565,544,628,327,258,884,673,3030,1069,1181,305,756,822,452,177,263,110,393,365,394,240,275,417,33
"Snake River - Summer",3,46,148,333,240,260,197,234,630,307,1155,332,171,129,237,435,286,85,322,82,99,185,331,133,123,130,9
"Upper Columbia - Fall",15,1,0,1,7,26,0,0,3,2,13,5,7,25,59,52,24,2,22,63,71,29,0,32,8,6,0
"Upper Columbia - Spring",1,7,24,4,128,183,38,19,11,23,49,46,185,12,65,97,32,64,61,61,32,66,118,105,43,87,21
"Upper Columbia - Summer",0,0,142,121,16,260,74,23,2,3,6,37,666,89,34,78,33,89,179,71,110,163,628,128,67,18,17
