"group_run","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Lower Columbia - Fall",81,545,1674,2133,0,192,0,0,0,1276,24593,13230,1,0,0,3184,0,5998,2036,3899,0,0,0,0,0,0,0
"Lower Columbia - Spring",0,1186,3710,1847,3005,0,0,0,0,4,0,1136,0,0,0,2,0,0,0,0,26,2,0,0,0,0,0
"Middle Columbia - Fall",4041,24695,6330,2083,5109,508,233,362,973,907,5709,4060,5666,2624,3198,4532,3827,2847,3571,4212,5304,4778,4503,5770,3563,4980,4772
"Middle Columbia - Spring",1869,21766,19504,6124,5280,6130,2573,3043,3703,4523,6581,6733,17321,8177,7903,11262,9855,12595,10133,5706,9019,10851,14500,13346,8926,12544,12727
"Middle Columbia - Summer",809,0,0,0,0,0,0,0,0,5,0,42,574,287,461,487,186,6,405,420,62,186,169,816,192,949,214
"Snake River - Fall",1123,1878,1326,25028,21023,41057,22564,13288,71147,2065,81216,59197,77784,76299,57752,5190,4304,10726,13398,20846,23207,17164,6948,5434,10939,14126,5996
"Snake River - Spring",5339,9897,4207,53243,39072,89459,58029,58460,69646,44715,81089,50319,53761,54623,42135,43020,54576,24031,39775,29576,51387,41283,22989,18247,29569,38819,11005
"Snake River - Summer",1591,3820,3387,17801,12150,22398,31409,30319,18843,11030,16860,12573,11493,16660,12050,17257,23312,13133,23845,15762,23988,18620,11853,7242,12094,13167,4992
"Upper Columbia - Fall",3184,598,31,177,523,4309,221,267,168,633,464,396,285,359,1708,1052,2533,694,1657,3618,2049,1727,25,1725,1216,945,781
"Upper Columbia - Spring",722,1321,1118,1206,23211,30355,9523,2500,1463,2177,1609,2204,5600,783,3363,5022,4182,6414,5801,4424,3383,5460,4582,5641,2976,6007,4829
"Upper Columbia - Summer",38,127,2432,6419,5497,15600,9770,2580,202,199,315,1124,10841,2012,1138,1739,2602,4118,4700,3651,3282,4123,9050,4697,2558,2642,2356
