"run_year","SR_outmigrants","SR_returning_adults","SR_SAR","UC_outmigrants","UC_returning_adults","UC_SAR"
2001,8245,18,0.002,5331,130,0.024
2002,1152,3,0.003,4993,15,0.003
2003,10981,13,0.001,14268,242,0.017
2004,2047,1,0,9360,71,0.008
2005,8424,4,0,2528,22,0.009
2006,40143,297,0.007,8,0,0
2007,1119,8,0.007,2,0,0
2008,31391,1176,0.037,7,0,0
2009,33264,214,0.006,929,34,0.037
2010,53257,1043,0.02,10231,384,0.038
2011,37001,533,0.014,1592,25,0.016
2012,26370,436,0.017,615,18,0.029
2013,3475,79,0.023,1213,45,0.037
2014,2465,24,0.01,2333,21,0.009
2015,10278,144,0.014,3973,58,0.015
2016,11987,121,0.01,4538,129,0.028
2017,18073,48,0.003,3290,59,0.018
2018,20403,243,0.012,3087,86,0.028
2019,15089,183,0.012,3786,105,0.028
2020,5427,241,0.044,7975,239,0.03
2021,3976,116,0.029,4563,84,0.018
