"","Taxonomy","Life History Stages","Functional Group","Proportion of Functional Group"
"1","Cancer oregonensis/productus","Zoea, Megalopa","Cancer crab larvae",0.777434294679453
"2","Cancer antennarius/gracilis","Zoea, Megalopa","Cancer crab larvae",0.177744351239108
"3","Cancer magister","Zoea, Megalopa","Cancer crab larvae",0.0447382069324675
"4","Themisto pacifica","Juvenile","Hyperiid amphipod",0.939194556174154
"5","Hyperoche","Juvenile","Hyperiid amphipod",0.0435481235037393
"6","Vibilia australis","Juvenile","Hyperiid amphipod",0.0067308645782687
"7","Hyperia medusarum","Juvenile","Hyperiid amphipod",0.0057212955257125
"8","Lycaea pulex","Juvenile","Hyperiid amphipod",0.00230065246807237
"9","Vibilia pyripes","Juvenile","Hyperiid amphipod",0.00192206408725034
"10","Phronima spp.","Juvenile","Hyperiid amphipod",0.000196574736196057
"11","Dairella californica","Juvenile","Hyperiid amphipod",0.000167452553055901
"12","Streetsia challengeri","Juvenile","Hyperiid amphipod",0.000152891461485822
"13","Primno spp.","Juvenile","Hyperiid amphipod",4.3683274710235e-05
"14","Oxycephalus","Juvenile","Hyperiid amphipod",1.45610915700783e-05
"15","Vibilia spp.","Juvenile","Hyperiid amphipod",7.28054578503916e-06
"16","Porcellanidae","Zoea, Megalopa","Non-Cancer crab larvae",0.451164509263975
"17","Fabia","Zoea, Megalopa","Non-Cancer crab larvae",0.203765833021319
"18","Lophopanopeus","Zoea, Megalopa","Non-Cancer crab larvae",0.140100371324808
"19","Paguridae","Zoea, Megalopa","Non-Cancer crab larvae",0.0655096967157633
"20","Emerita analoga","Zoea","Non-Cancer crab larvae",0.0388751429554287
"21","Pinnixa","Zoea, Megalopa","Non-Cancer crab larvae",0.0373450692894422
"22","Pugettia","Zoea, Megalopa","Non-Cancer crab larvae",0.0291294192608391
"23","Hemigrapsus","Zoea, Megalopa","Non-Cancer crab larvae",0.0145713405218634
"24","Grapsidae","Zoea, Megalopa","Non-Cancer crab larvae",0.0106524953576216
"25","Majidae","Zoea, Megalopa","Non-Cancer crab larvae",0.00438300615670828
"26","Pinnotheridae","Zoea, Megalopa","Non-Cancer crab larvae",0.00290432179684922
"27","Oregonia gracilis","Megalopa","Non-Cancer crab larvae",0.000992069576450937
"28","Pinnixa littoralis","Zoea, Megalopa","Non-Cancer crab larvae",0.0001591409203753
"29","Rhithropanopeus harrisii","Megalopa","Non-Cancer crab larvae",0.0001591409203753
"30","Pachycheles","Megalopa","Non-Cancer crab larvae",9.94630752345623e-05
"31","Xanthidae","Zoea, Juvenile","Non-Cancer crab larvae",8.95167677111061e-05
"32","Hemigrapsus nudus","Megalopa","Non-Cancer crab larvae",5.96778451407374e-05
"33","Crabs","Juvenile","Non-Cancer crab larvae",2.98389225703687e-05
"34","Telmessus cheiragonus","Juvenile","Non-Cancer crab larvae",9.94630752345624e-06
"35","Neotrypaea californiensis","Zoea, Megalopa","Shrimp larvae",0.828573220072678
"36","Crangonidae","Juvenile, Larva","Shrimp larvae",0.124874666681729
"37","Hippolytidae","Juvenile, Larva","Shrimp larvae",0.0304000898953769
"38","Cumacea","Juvenile, Larva","Shrimp larvae",0.0140446156469423
"39","Neomysis kadiakensis","Juvenile, Larva","Shrimp larvae",0.000459050613414175
"40","Pandalidae","Juvenile, Larva","Shrimp larvae",0.000431770038165124
"41","Sergestidae","Juvenile, Larva","Shrimp larvae",0.000419938677742116
"42","Alienacanthomysis macropsis","Larva","Shrimp larvae",0.000409646063091574
"43","Upogebia pugettensis","Zoea, Megalopa","Shrimp larvae",0.000109101715295746
"44","Mysidacea","Larva","Shrimp larvae",7.61653484140112e-05
"45","Natantia","Larva","Shrimp larvae",6.58727337634691e-05
"46","Neomysis rayii","Juvenile, Larva","Shrimp larvae",5.55801191129271e-05
"47","Neomysis mercedis","Juvenile, Larva","Shrimp larvae",4.73460273924934e-05
"48","Archaeomysis grebnitzkii","Larva","Shrimp larvae",2.67607980914093e-05
"49","Exacanthomysis davisi","Juvenile","Shrimp larvae",2.05852293010841e-06
"50","Lissocrangon stylirostris","Juvenile","Shrimp larvae",2.05852293010841e-06
