"haul_id","cruise","year","month","day","original_haul_number","new_haul_number","original_station","transect_new","station_new","swfcs_station","swfcs_transect","distance_from_shore_km","start_depth_m","comments","end_depth_m","warp_out_m","start_time","end_time","start_latitude","end_latitude","start_longitude","end_longitude","start_tow_speed_kts","end_tow_speed_kts","max_headrope_depth_m","max_footrope_depth_m","flowmeter_start","flowmeter_end","total_revs","weather","surface_temp_o_c","temperature_30m_o_c","fluorescence_30m_v","salinity_30m_psu","density_30m_sigma_theta_kg_m3","dissolved_oxygen_30m_ml_l","X","Y","group","total"
"2011_5_28-40.5_4","Juv01",2011,5,28,2,68,"40.5S4","40.5",4,604,600,37.2,2500,NA,2500,91,"23:04","23:19",40.5,40.51,-124.84,-124.85,2,2.1,NA,NA,276938,333147,56209,"Fair NW 20-25 8-10'",12.2,NA,NA,NA,NA,NA,344.08545514293,4484.88094444196,"rockfishes",11
"2011_5_28-40.5_5","Juv01",2011,5,28,1,67,"40.5S5","40.5",5,605,600,46.3,2500,NA,2500,91,"21:24","21:39",40.5,40.5,-124.95,-124.95,2,2.1,NA,NA,235822,276943,41121,"Fair NW 20-25 kts.  8-10' seas",12.2,10.1477,0.0742,32.5481,25.0137,5.6266,334.763922934197,4485.0812430488,"rockfishes",5
"2011_5_29-40.5_1","Juv01",2011,5,29,5,71,"40.5S1","40.5",1,601,600,10,58,NA,75,46,"3:31","3:46",40.5,40.51,-124.53,-124.53,1.9,1.8,NA,NA,438136,490272,52136,"Fair NW 20-30 10'-12'",11.5,4.0537,0.0708,33.8111,26.3128,2.1732,370.354756114137,4484.37906718191,"rockfishes",0
"2011_5_29-40.5_2","Juv01",2011,5,29,4,70,"40.5S2","40.5",2,602,600,19.1,262,NA,152,91,"2:10","2:25",40.5,40.51,-124.62,-124.62,2,2.2,NA,NA,380932,438125,57193,NA,11.9,6.0435,0.0677,33.6497,26.1454,2.9115,362.728252157817,4484.51525494823,"rockfishes",0
"2011_5_29-40.5_3","Juv01",2011,5,29,3,69,"40.5S3","40.5",3,603,600,28.2,1334,NA,1201,91,"0:36","0:51",40.5,40.51,-124.73,-124.73,2,1.9,NA,NA,333178,380943,47765,"Fair NW 20-25 8'-10'",11.3,NA,NA,NA,NA,NA,353.406896414585,4484.69228231886,"rockfishes",4
"2011_5_29-40_1","Juv01",2011,5,29,6,72,"40.0S1","40",1,591,590,6.5,50,NA,51,46,"21:45","22:00",40,40,-124.11,-124.11,2.1,2.1,NA,NA,490292,537590,47298,"Good NW 10-5 3'-6' seas",9.5,9.3648,0.1265,33.5742,25.944,3.3105,405.249690982283,4428.347213601,"rockfishes",0
"2011_5_29-40_2","Juv01",2011,5,29,7,73,"40.0S2","40",2,592,590,15.6,718,NA,586,91,"23:05","23:20",40,40.01,-124.21,-124.21,2.1,2.2,NA,NA,537593,579059,41466,"Good NW 10-20 5'-7'",9.9,8.9865,0.0825,33.4739,25.9258,3.6904,396.713413157187,4428.45831800741,"rockfishes",1
"2011_5_30-40_3","Juv01",2011,5,30,8,74,"40.0S3","40",3,593,590,24.6,914,NA,994,91,"0:26","0:41",40,40.01,-124.32,-124.33,2,2.5,NA,NA,579071,623805,44734,"Good NW 15-20 5'-7'",10.7,NA,NA,NA,NA,NA,387.32344349635,4428.5915997935,"rockfishes",0
"2011_5_30-40_4","Juv01",2011,5,30,9,75,"40.0S4","40",4,594,590,33.7,947,NA,937,91,"1:45","2:00",40,40.01,-124.43,-124.43,2.1,2.1,NA,NA,623805,658599,34794,"Good NW 15-20 5'-7'",10.8,NA,NA,NA,NA,NA,377.933400847261,4428.73647672901,"rockfishes",0
"2011_5_30-40_5","Juv01",2011,5,30,10,76,"40.0S5","40",5,595,590,42.8,1068,NA,1045,91,"3:03","3:18",39.99,40,-124.53,-124.54,2.3,2.1,NA,NA,658590,720448,61858,"Good NW 15.2 4'-6'",11.3,NA,NA,NA,NA,NA,369.377875098532,4427.76827520951,"rockfishes",0
"2011_5_30-40_6","Juv01",2011,5,30,11,77,"40.0S6","40",6,596,590,51.9,1026,NA,1030,91,"4:15","4:30",40,40,-124.65,-124.65,2.2,1.7,NA,NA,720085,757330,37245,"Good",11.4,6.247,0.0736,32.4939,24.9758,5.7844,359.153072328479,4429.06102158652,"rockfishes",6
