"Transect","year","Date","Lat","Lon","NASC"
"2001_39",2001,NA,42.1355,-125.1833,0
"2001_39",2001,NA,42.1355,-125.1720147,0
"2001_39",2001,NA,42.1355,-125.1607294,0
"2001_39",2001,NA,42.1355,-124.8560263,0
"2001_39",2001,NA,42.1355,-124.844741,0
"2001_39",2001,NA,42.1355,-124.8334557,0
"2001_39",2001,NA,42.1355,-124.7657439,0
"2001_39",2001,NA,42.1355,-124.7544586,0
"2001_39",2001,NA,42.1355,-124.7431733,0
"2001_39",2001,NA,42.1355,-124.6980321,0
"2001_39",2001,NA,42.1355,-124.686746799999,0
"2001_39",2001,NA,42.1355,-124.675461499999,0
"2001_39",2001,NA,42.1355,-124.528752599999,0
"2001_39",2001,NA,42.1355,-124.517467299999,0
"2001_39",2001,NA,42.1355,-124.506181999999,0
"2001_39",2001,NA,42.1355,-124.415899599999,0
"2001_40",2001,NA,42.3022,-124.4645,0
"2001_40",2001,NA,42.3022,-124.5209265,0
"2001_40",2001,NA,42.3022,-124.5547824,0
"2001_40",2001,NA,42.3022,-124.5660677,0
"2001_40",2001,NA,42.3022,-124.577353,0
"2001_40",2001,NA,42.3022,-124.6112089,0
"2001_40",2001,NA,42.3022,-124.994909100001,0
"2001_40",2001,NA,42.3022,-125.006194400001,0
"2001_40",2001,NA,42.3022,-125.017479700001,0
"2001_40",2001,NA,42.3022,-125.028765000001,0
"2001_40",2001,NA,42.3022,-125.040050300001,0
"2001_40",2001,NA,42.3022,-125.051335600001,0
"2001_40",2001,NA,42.3022,-125.062620900001,0
"2001_41",2001,NA,42.4688,-125.2167,0
"2001_41",2001,NA,42.4688,-125.2054147,0
"2001_41",2001,NA,42.4688,-125.1941294,0
"2001_41",2001,NA,42.4688,-125.1828441,0
"2001_41",2001,NA,42.4688,-125.1715588,0
"2001_41",2001,NA,42.4688,-125.1602735,0
"2001_41",2001,NA,42.4688,-124.9007116,0
"2001_41",2001,NA,42.4688,-124.7878586,0
"2001_41",2001,NA,42.4688,-124.7765733,0
"2001_41",2001,NA,42.4688,-124.765288,0
"2001_41",2001,NA,42.4688,-124.7540027,0
"2001_41",2001,NA,42.4688,-124.7427174,0
"2001_41",2001,NA,42.4688,-124.7314321,0
"2001_41",2001,NA,42.4688,-124.720146799999,0
"2001_41",2001,NA,42.4688,-124.708861499999,0
"2001_41",2001,NA,42.4688,-124.697576199999,0
"2001_41",2001,NA,42.4688,-124.686290899999,0
"2001_41",2001,NA,42.4688,-124.675005599999,0
"2001_41",2001,NA,42.4688,-124.663720299999,0
"2001_41",2001,NA,42.4688,-124.652434999999,0
"2001_41",2001,NA,42.4688,-124.641149699999,0
"2001_41",2001,NA,42.4688,-124.629864399999,0
"2001_41",2001,NA,42.4688,-124.618579099999,0
"2001_41",2001,NA,42.4688,-124.596008499999,0
"2001_41",2001,NA,42.4688,-124.584723199999,0
"2001_41",2001,NA,42.4688,-124.573437899999,0
"2001_41",2001,NA,42.4688,-124.562152599999,0
"2001_41",2001,NA,42.4688,-124.550867299999,0
"2001_42",2001,NA,42.6355,-124.4542,0
"2001_42",2001,NA,42.6355,-124.4654853,0
"2001_42",2001,NA,42.6355,-124.4767706,0
"2001_42",2001,NA,42.6355,-124.4880559,0
"2001_42",2001,NA,42.6355,-124.4993412,0
"2001_42",2001,NA,42.6355,-124.5106265,0
"2001_42",2001,NA,42.6355,-124.5219118,0
"2001_42",2001,NA,42.6355,-124.5331971,0
"2001_42",2001,NA,42.6355,-124.5444824,0
"2001_42",2001,NA,42.6355,-124.5557677,0
"2001_42",2001,NA,42.6355,-124.567053,0
"2001_42",2001,NA,42.6355,-124.5783383,0
"2001_42",2001,NA,42.6355,-124.5896236,0
"2001_42",2001,NA,42.6355,-124.6009089,0
"2001_42",2001,NA,42.6355,-124.6121942,0
"2001_42",2001,NA,42.6355,-124.6234795,0
