"sampleID","cruise_number","month","year","station_code","net_type","sample_date","sample_time","dec_lat","dec_long","station_depth_m","transect_name","station_number","station","n_cr_s","day_night","X","Y","total_sum_of_final_carbon_mg_m3"
"CF01_1999-06-24",4,"June",1999,"062499CF01","Meter",1999-06-24,1899-12-31 07:45:00,45.73,-123.97,27.432,"Cape Falcon",1,"CF01","CR","D",424.526251042819,5064.50684483418,0
"CH02_2003-07-01",16,"June",2003,"070103CH02","Bongo",2003-07-01,1899-12-31 09:08:00,45.05,-124.07,56,"Cascade Head",2,"CH02","S","D",415.741012509929,4989.06163856916,0.00946958027356171
"CH05_2001-06-30",10,"June",2001,"063001CH05","Bongo",2001-06-30,1899-12-31 10:10:00,45.05,-124.13,95,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0
"CH05_2003-07-01",16,"June",2003,"070103CH05","Bongo",2003-07-01,1899-12-31 10:55:00,45.05,-124.13,93,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0.00147081377381619
"CH05_2004-06-28",20,"June",2004,"062804CH05","Bongo",2004-06-28,1899-12-31 11:19:00,45.05,-124.13,96,"Cascade Head",5,"CH05","S","D",411.01620957955,4989.12584390014,0.0164571049555998
"CH10_2001-06-30",10,"June",2001,"063001CH10","Bongo",2001-06-30,1899-12-31 12:18:00,45.05,-124.23,149,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0
"CH10_2003-07-01",16,"June",2003,"070103CH10","Bongo",2003-07-01,1899-12-31 12:55:00,45.05,-124.23,144,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0
"CH10_2004-06-28",20,"June",2004,"062804CH10","Bongo",2004-06-28,1899-12-31 13:29:00,45.05,-124.23,149,"Cascade Head",10,"CH10","S","D",403.141538087865,4989.24063740452,0.00377148520210571
"CH15_2003-07-01",16,"June",2003,"070103CH15","Bongo",2003-07-01,1899-12-31 14:50:00,45.05,-124.34,203,"Cascade Head",15,"CH15","S","D",394.479399550228,4989.37815004186,0
"CM01_1999-06-21",4,"June",1999,"062199CM01","Meter",1999-06-21,1899-12-31 07:47:00,45.48,-124,36.576,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.101810412935281
"CM01_2000-06-19",7,"June",2000,"061900CM01D","Meter",2000-06-19,1899-12-31 08:19:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0953050438279847
"CM01_2001-06-29",10,"June",2001,"062901CM01","Bongo",2001-06-29,1899-12-31 06:09:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0753598106059456
"CM01_2002-06-23",13,"June",2002,"062302CM01","Bongo",2002-06-23,1899-12-31 06:09:00,45.48,-124,29,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.178920944522826
"CM01_2003-06-30",16,"June",2003,"063003CM01","Bongo",2003-06-30,1899-12-31 07:42:00,45.48,-124,35,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0254615832024718
"CM01_2004-06-27",20,"June",2004,"062704CM01","Bongo",2004-06-27,1899-12-31 07:25:00,45.48,-124,31,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0566528597806603
"CM01_2005-06-20",23,"June",2005,"062005CM01","Bongo",2005-06-20,1899-12-31 08:50:00,45.48,-124,28,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.000655711223792418
"CM01_2006-06-26",27,"June",2006,"062606CM01","Bongo",2006-06-26,1899-12-31 07:53:00,45.48,-124,27,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0841599689639943
"CM01_2007-06-27",30,"June",2007,"062707CM01","Bongo",2007-06-27,1899-12-31 07:37:00,45.48,-124,29.4,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.932748421118799
"CM01_2008-06-28",33,"June",2008,"062808CM01","Bongo",2008-06-28,1899-12-31 07:41:00,45.48,-124,37,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.536306041307048
"CM01_2009-06-29",36,"June",2009,"062909CM01","Bongo",2009-06-29,1899-12-31 07:29:00,45.48,-124,36,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.259562768882203
"CM01_2010-06-27",39,"June",2010,"062710CM01","Bongo",2010-06-27,1899-12-31 07:42:00,45.48,-124,34,"Cape Meares",1,"CM01","S","D",421.845604520228,5036.76087940682,0.0146563418253584
